,Date,Store_Number,Transaction_Count,target_pct,met_target,bonus_payable,month,day_of_week
0,2013-01-01,25,770,0.308,False,0.0,1,1
1,2013-01-02,1,2111,0.8444,False,0.0,1,2
2,2013-01-02,2,2358,0.9432,False,0.0,1,2
3,2013-01-02,3,3487,1.3948,True,100.0,1,2
4,2013-01-02,4,1922,0.7688,False,0.0,1,2
5,2013-01-02,5,1903,0.7612,False,0.0,1,2
6,2013-01-02,6,2143,0.8572,False,0.0,1,2
7,2013-01-02,7,1874,0.7496,False,0.0,1,2
8,2013-01-02,8,3250,1.3,True,100.0,1,2
9,2013-01-02,9,2940,1.176,True,100.0,1,2
10,2013-01-02,10,1293,0.5172,False,0.0,1,2
11,2013-01-02,11,3547,1.4188,True,100.0,1,2
12,2013-01-02,12,1362,0.5448,False,0.0,1,2
13,2013-01-02,13,1102,0.4408,False,0.0,1,2
14,2013-01-02,14,2002,0.8008,False,0.0,1,2
15,2013-01-02,15,1622,0.6488,False,0.0,1,2
16,2013-01-02,16,1167,0.4668,False,0.0,1,2
17,2013-01-02,17,1580,0.632,False,0.0,1,2
18,2013-01-02,18,1635,0.654,False,0.0,1,2
19,2013-01-02,19,1369,0.5476,False,0.0,1,2
20,2013-01-02,23,1381,0.5524,False,0.0,1,2
21,2013-01-02,24,2605,1.042,True,100.0,1,2
22,2013-01-02,25,1038,0.4152,False,0.0,1,2
23,2013-01-02,26,1008,0.4032,False,0.0,1,2
24,2013-01-02,27,1386,0.5544,False,0.0,1,2
25,2013-01-02,28,950,0.38,False,0.0,1,2
26,2013-01-02,30,708,0.2832,False,0.0,1,2
27,2013-01-02,31,1401,0.5604,False,0.0,1,2
28,2013-01-02,32,776,0.3104,False,0.0,1,2
29,2013-01-02,33,1163,0.4652,False,0.0,1,2
30,2013-01-02,34,2724,1.0896,True,100.0,1,2
31,2013-01-02,35,786,0.3144,False,0.0,1,2
32,2013-01-02,37,1691,0.6764,False,0.0,1,2
33,2013-01-02,38,1987,0.7948,False,0.0,1,2
34,2013-01-02,39,1587,0.6348,False,0.0,1,2
